provincia_iso,sexo,grupo_edad,fecha,num_casos,num_hosp,num_uci,num_def
LU,NC,70-79,2020-01-01,0,0,0,0
LU,NC,80+,2020-01-01,0,0,0,0
M,H,60-69,2020-01-01,0,1,0,0
M,H,70-79,2020-01-01,0,0,0,0
M,H,80+,2020-01-01,0,0,0,0
M,M,60-69,2020-01-01,0,0,0,0
M,M,70-79,2020-01-01,0,0,0,0
M,M,80+,2020-01-01,0,0,0,0
M,NC,60-69,2020-01-01,0,0,0,0
M,NC,70-79,2020-01-01,0,0,0,0
M,NC,80+,2020-01-01,0,0,0,0
MA,H,60-69,2020-01-01,0,0,0,0
MA,H,70-79,2020-01-01,0,0,0,0
MA,H,80+,2020-01-01,0,0,0,0
MA,M,60-69,2020-01-01,0,0,0,0
MA,M,70-79,2020-01-01,0,0,0,0
MA,M,80+,2020-01-01,0,0,0,0
MA,NC,60-69,2020-01-01,0,0,0,0
MA,NC,70-79,2020-01-01,0,0,0,0
MA,NC,80+,2020-01-01,0,0,0,0
ML,H,60-69,2020-01-01,0,0,0,0
ML,H,70-79,2020-01-01,0,0,0,0
ML,H,80+,2020-01-01,0,0,0,0
ML,M,60-69,2020-01-01,0,0,0,0
ML,M,70-79,2020-01-01,0,0,0,0
ML,M,80+,2020-01-01,0,0,0,0
ML,NC,60-69,2020-01-01,0,0,0,0
ML,NC,70-79,2020-01-01,0,0,0,0
ML,NC,80+,2020-01-01,0,0,0,0
MU,H,60-69,2020-01-01,0,0,0,0
MU,H,70-79,2020-01-01,0,0,0,0
MU,H,80+,2020-01-01,0,0,0,0
MU,M,60-69,2020-01-01,0,0,0,0
MU,M,70-79,2020-01-01,0,0,0,0
MU,M,80+,2020-01-01,0,0,0,0
MU,NC,60-69,2020-01-01,0,0,0,0
MU,NC,70-79,2020-01-01,0,0,0,0
MU,NC,80+,2020-01-01,0,0,0,0
NA,H,60-69,2020-01-01,0,0,0,0
NA,H,70-79,2020-01-01,0,0,0,0
NA,H,80+,2020-01-01,0,0,0,0
NA,M,60-69,2020-01-01,0,0,0,0
NA,M,70-79,2020-01-01,0,0,0,0
NA,M,80+,2020-01-01,0,0,0,0
NA,NC,60-69,2020-01-01,0,0,0,0
NA,NC,70-79,2020-01-01,0,0,0,0
NA,NC,80+,2020-01-01,0,0,0,0
NC,H,60-69,2020-01-01,0,0,0,0
NC,H,70-79,2020-01-01,0,0,0,0
NC,H,80+,2020-01-01,0,0,0,0
NC,M,60-69,2020-01-01,0,0,0,0
NC,M,70-79,2020-01-01,0,0,0,0
NC,M,80+,2020-01-01,0,0,0,0
NC,NC,60-69,2020-01-01,0,0,0,0
NC,NC,70-79,2020-01-01,0,0,0,0
NC,NC,80+,2020-01-01,0,0,0,0
O,H,60-69,2020-01-01,0,0,0,0
O,H,70-79,2020-01-01,0,0,0,0
O,H,80+,2020-01-01,0,0,0,0
O,M,60-69,2020-01-01,0,0,0,0
O,M,70-79,2020-01-01,0,0,0,0
O,M,80+,2020-01-01,0,0,0,0
O,NC,60-69,2020-01-01,0,0,0,0
O,NC,70-79,2020-01-01,0,0,0,0
O,NC,80+,2020-01-01,0,0,0,0
OR,H,60-69,2020-01-01,0,0,0,0
OR,H,70-79,2020-01-01,0,0,0,0
OR,H,80+,2020-01-01,0,0,0,0
OR,M,60-69,2020-01-01,0,0,0,0
OR,M,70-79,2020-01-01,0,0,0,0
OR,M,80+,2020-01-01,0,0,0,0
OR,NC,60-69,2020-01-01,0,0,0,0
OR,NC,70-79,2020-01-01,0,0,0,0
OR,NC,80+,2020-01-01,0,0,0,0
P,H,60-69,2020-01-01,0,0,0,0
P,H,70-79,2020-01-01,0,0,0,0
P,H,80+,2020-01-01,0,0,0,0
P,M,60-69,2020-01-01,0,0,0,0
P,M,70-79,2020-01-01,0,0,0,0
P,M,80+,2020-01-01,0,0,0,0
P,NC,60-69,2020-01-01,0,0,0,0
P,NC,70-79,2020-01-01,0,0,0,0
P,NC,80+,2020-01-01,0,0,0,0
PM,H,60-69,2020-01-01,0,0,0,0
PM,H,70-79,2020-01-01,0,0,0,0
PM,H,80+,2020-01-01,0,0,0,0
PM,M,60-69,2020-01-01,0,0,0,0
PM,M,70-79,2020-01-01,0,0,0,0
PM,M,80+,2020-01-01,0,0,0,0
PM,NC,60-69,2020-01-01,0,0,0,0
PM,NC,70-79,2020-01-01,0,0,0,0
PM,NC,80+,2020-01-01,0,0,0,0
PO,H,60-69,2020-01-01,0,0,0,0
PO,H,70-79,2020-01-01,0,0,0,0
PO,H,80+,2020-01-01,0,0,0,0
PO,M,60-69,2020-01-01,0,0,0,0
PO,M,70-79,2020-01-01,0,0,0,0
PO,M,80+,2020-01-01,0,0,0,0
PO,NC,60-69,2020-01-01,0,0,0,0
PO,NC,70-79,2020-01-01,0,0,0,0
PO,NC,80+,2020-01-01,0,0,0,0
S,H,60-69,2020-01-01,0,0,0,0
S,H,70-79,2020-01-01,0,0,0,0
S,H,80+,2020-01-01,0,0,0,0
S,M,60-69,2020-01-01,0,0,0,0
S,M,70-79,2020-01-01,0,0,0,0
S,M,80+,2020-01-01,0,0,0,0
S,NC,60-69,2020-01-01,0,0,0,0
S,NC,70-79,2020-01-01,0,0,0,0
S,NC,80+,2020-01-01,0,0,0,0
SA,H,60-69,2020-01-01,0,0,0,0
SA,H,70-79,2020-01-01,0,0,0,0
SA,H,80+,2020-01-01,0,0,0,0
SA,M,60-69,2020-01-01,0,0,0,0
SA,M,70-79,2020-01-01,0,0,0,0
SA,M,80+,2020-01-01,0,0,0,0
SA,NC,60-69,2020-01-01,0,0,0,0
SA,NC,70-79,2020-01-01,0,0,0,0
SA,NC,80+,2020-01-01,0,0,0,0
SE,H,60-69,2020-01-01,0,0,0,0
SE,H,70-79,2020-01-01,0,0,0,0
SE,H,80+,2020-01-01,0,0,0,0
SE,M,60-69,2020-01-01,0,0,0,0
SE,M,70-79,2020-01-01,0,0,0,0
SE,M,80+,2020-01-01,0,0,0,0
SE,NC,60-69,2020-01-01,0,0,0,0
SE,NC,70-79,2020-01-01,0,0,0,0
SE,NC,80+,2020-01-01,0,0,0,0
SG,H,60-69,2020-01-01,0,0,0,0
SG,H,70-79,2020-01-01,0,0,0,0
SG,H,80+,2020-01-01,0,0,0,0
SG,M,60-69,2020-01-01,0,0,0,0
SG,M,70-79,2020-01-01,0,0,0,0
SG,M,80+,2020-01-01,0,0,0,0
SG,NC,60-69,2020-01-01,0,0,0,0
SG,NC,70-79,2020-01-01,0,0,0,0
SG,NC,80+,2020-01-01,0,0,0,0
SO,H,60-69,2020-01-01,0,0,0,0
SO,H,70-79,2020-01-01,0,0,0,0
SO,H,80+,2020-01-01,0,0,0,0
SO,M,60-69,2020-01-01,0,0,0,0
SO,M,70-79,2020-01-01,0,0,0,0
SO,M,80+,2020-01-01,0,0,0,0
SO,NC,60-69,2020-01-01,0,0,0,0
SO,NC,70-79,2020-01-01,0,0,0,0
SO,NC,80+,2020-01-01,0,0,0,0
SS,H,60-69,2020-01-01,0,0,0,0
SS,H,70-79,2020-01-01,0,0,0,0
SS,H,80+,2020-01-01,0,0,0,0
SS,M,60-69,2020-01-01,0,0,0,0
SS,M,70-79,2020-01-01,0,0,0,0
SS,M,80+,2020-01-01,0,0,0,0
SS,NC,60-69,2020-01-01,0,0,0,0
SS,NC,70-79,2020-01-01,0,0,0,0
SS,NC,80+,2020-01-01,0,0,0,0
T,H,60-69,2020-01-01,0,0,0,0
T,H,70-79,2020-01-01,0,0,0,0
T,H,80+,2020-01-01,0,0,0,0
T,M,60-69,2020-01-01,0,0,0,0
T,M,70-79,2020-01-01,0,0,0,0
T,M,80+,2020-01-01,0,0,0,0
T,NC,60-69,2020-01-01,0,0,0,0
T,NC,70-79,2020-01-01,0,0,0,0
T,NC,80+,2020-01-01,0,0,0,0
TE,H,60-69,2020-01-01,0,0,0,0
TE,H,70-79,2020-01-01,0,0,0,0
TE,H,80+,2020-01-01,0,0,0,0
TE,M,60-69,2020-01-01,0,0,0,0
TE,M,70-79,2020-01-01,0,0,0,0
TE,M,80+,2020-01-01,0,0,0,0
TE,NC,60-69,2020-01-01,0,0,0,0
TE,NC,70-79,2020-01-01,0,0,0,0
TE,NC,80+,2020-01-01,0,0,0,0
TF,H,60-69,2020-01-01,0,0,0,0
TF,H,70-79,2020-01-01,0,0,0,0
TF,H,80+,2020-01-01,0,0,0,0
TF,M,60-69,2020-01-01,0,0,0,0
TF,M,70-79,2020-01-01,0,0,0,0
